what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.textStart",1419353277427
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353279481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353286400
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1419353290550
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1419353296460
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1419353299018
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1419353303949
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353307293
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353310925
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353312125
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353315709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353318189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353323392
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353324213
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353324613
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353326549
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353327197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353329061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353333122
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353333893
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353334757
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353335837
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353336773
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1419353338069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353341085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353367667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353371654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353410974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353419590
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353420274
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353422101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419353423018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1419353437600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1419353437863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1419353438087
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1419353438321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1419353438552
