127.0.0.1 - - [05/Jun/2016:10:58:31 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Jun/2016:10:58:35 +0530] "GET /BaitAlarms/ HTTP/1.1" 200 7446
0:0:0:0:0:0:0:1 - - [05/Jun/2016:10:59:17 +0530] "GET /BaitAlarms/ HTTP/1.1" 200 7446
0:0:0:0:0:0:0:1 - - [05/Jun/2016:10:59:32 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [05/Jun/2016:10:59:39 +0530] "GET /BaitAlarms/pages/inbox.jsp HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [05/Jun/2016:10:59:47 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=982 HTTP/1.1" 200 4011
0:0:0:0:0:0:0:1 - - [05/Jun/2016:10:59:56 +0530] "GET /BaitAlarms/pages/check.jsp?redirect=1&url=http://www.axisbank.com/axis HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Jun/2016:10:59:59 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkSite HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Jun/2016:10:59:59 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jun/2016:10:59:59 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:04:47 +0530] "GET /BaitAlarms/pages/check.jsp?redirect=1&url=http://www.axisbank.com/axis HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:04:52 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkSite HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:06:22 +0530] "GET /BaitAlarms/pages/check.jsp?redirect=1&url=http://www.axisbank.com/axis HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:06:32 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkSite HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:09:42 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=979 HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:10:11 +0530] "GET /BaitAlarms/pages/check.jsp?redirect=1&url=http://www.icicibank.com/icici HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:10:19 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkSite HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:12:22 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=982 HTTP/1.1" 200 4011
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:12:38 +0530] "GET /BaitAlarms/pages/check.jsp?redirect=1&url=http://www.axisbank.com/axis HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:12:44 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkSite HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:14:00 +0530] "GET /BaitAlarms/pages/check.jsp?redirect=1&url=http://www.axisbank.com/axis HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:14:29 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkSite HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:16:32 +0530] "GET /BaitAlarms/pages/check.jsp?redirect=1&url=http://www.axisbank.com/axis HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:16:54 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkSite HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:16:57 +0530] "GET /BaitAlarms/pages/phishing.jsp?url=http://www.axisbank.com/axis HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:16:58 +0530] "GET /BaitAlarms/pages/images/bg.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:17:35 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=979 HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:17:45 +0530] "GET /BaitAlarms/pages/check.jsp?redirect=1&url=http://www.icicibank.com/icici HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:17:57 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkSite HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:18:00 +0530] "GET /BaitAlarms/pages/phishing.jsp?url=http://www.icicibank.com/icici HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:18:02 +0530] "GET /BaitAlarms/pages/images/bg.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:19:02 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=982 HTTP/1.1" 200 4011
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:19:15 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=982 HTTP/1.1" 200 4011
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:19:24 +0530] "GET /BaitAlarms/pages/check.jsp?redirect=1&url=http://www.axisbank.com/axis HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:19:42 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkSite HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:19:44 +0530] "GET /BaitAlarms/pages/phishing.jsp?url=http://www.axisbank.com/axis HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [05/Jun/2016:11:19:46 +0530] "GET /BaitAlarms/pages/images/bg.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:14:18 +0530] "GET /BaitAlarms/theme/tiles/ajax.jsp?methodId=logout HTTP/1.1" 200 83
