127.0.0.1 - - [29/Dec/2014:20:33:44 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/index.jsp HTTP/1.1" 200 24237
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 200 97339
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 200 22089
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 200 19888
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/css/animate.css HTTP/1.1" 200 61623
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/css/main.css HTTP/1.1" 200 20344
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/images/logo.png HTTP/1.1" 200 1932
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/images/portfolio/recent/item1.png HTTP/1.1" 200 43293
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/images/portfolio/recent/item3.png HTTP/1.1" 200 20284
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/images/portfolio/recent/item2.png HTTP/1.1" 200 38788
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/images/blog/thumb1.jpg HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/images/blog/thumb2.jpg HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/images/blog/thumb3.jpg HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/js/jquery.js HTTP/1.1" 200 93106
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/js/bootstrap.min.js HTTP/1.1" 200 27726
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/js/jquery.prettyPhoto.js HTTP/1.1" 200 22060
