127.0.0.1 - - [03/Feb/2015:15:12:00 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:01 +0530] "GET /BaitAlarms/pages/login.jsp HTTP/1.1" 200 7328
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:01 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:02 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:02 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:02 +0530] "GET /BaitAlarms/theme/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:02 +0530] "GET /BaitAlarms/theme/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:02 +0530] "GET /BaitAlarms/theme/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:02 +0530] "GET /BaitAlarms/theme/images/phil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:02 +0530] "GET /BaitAlarms/theme/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:02 +0530] "GET /BaitAlarms/theme/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:02 +0530] "GET /BaitAlarms/theme/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:02 +0530] "GET /BaitAlarms/theme/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:02 +0530] "GET /BaitAlarms/theme/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/pages/login.jsp HTTP/1.1" 200 7328
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 200 97339
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 200 22089
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 200 19888
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/css/animate.css HTTP/1.1" 200 61623
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/css/main.css HTTP/1.1" 200 20344
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/js/jquery.js HTTP/1.1" 200 93106
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/js/main.js HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/images/loading.gif HTTP/1.1" 200 7582
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/js/jquery.prettyPhoto.js HTTP/1.1" 200 22060
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/images/phil.png HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/js/bootstrap.min.js HTTP/1.1" 200 27726
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/images/ico/PinterestLogo.png HTTP/1.1" 200 4623
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:08 +0530] "GET /BaitAlarms/theme/fonts/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 200 43572
0:0:0:0:0:0:0:1 - - [03/Feb/2015:15:12:59 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 6
